external_reference_key,count
flujo_wl_presentacion.xlsx flujo_wl_presentacion.xlsx,256750
flujo_medici.xlsx flujo_medici.xlsx,252933
flujo_sunset_lakes.xlsx flujo_sunset_lakes.xlsx,21213
flujo_caja_be_smart_1_proyectado_cierre_mayo_26.xlsx flujo_caja_be_smart_1_proyectado_cierre_mayo_26.xlsx,16468
flujo_ks_garden.xlsx flujo_ks_garden.xlsx,9830
flujo_jordan_corp.xlsx flujo_jordan_corp.xlsx,9350
flujo_jordan_limited.xlsx flujo_jordan_limited.xlsx,9337
calendario_costo_financiero.xlsx calendario_costo_financiero.xlsx,7492
