old_path,new_path,sha256_before,sha256_after,action,reason,status
C:\01. GitHub\CloseReport\05.DOCS\REPORTS\R01B_0144_BACKLOG.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_BACKLOG.md,429762311957f588074cbb48badedec48f4fce3084b9ab73ca3b5682d70e2c9b,429762311957f588074cbb48badedec48f4fce3084b9ab73ca3b5682d70e2c9b,COPIED_CANONICAL,BACKLOG,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\05.DOCS\GOVERNANCE\R01B_0145_GOV.md,C:\01. GitHub\CloseReport\05.DOCS\R01\canonical\R01B_GOV.md,fbea547645e4ea54ab7688b5ecda976e1db45243ddeb6311495851c110c48004,fbea547645e4ea54ab7688b5ecda976e1db45243ddeb6311495851c110c48004,COPIED_CANONICAL,GOVERNANCE,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\R01B_0144_EVIDENCE.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\canonical\R01B_EVIDENCE.csv,c277069b7f7a6c68e933c4646f622fb814e5e6d53ecb6f6479deaa9730c73d06,c277069b7f7a6c68e933c4646f622fb814e5e6d53ecb6f6479deaa9730c73d06,COPIED_CANONICAL,EVIDENCE_INDEX,CANONICAL_PRESENT_SOURCE_ARCHIVED_OR_MISSING
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143.20260711_113208.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143.20260711_113208.xlsx,f2555fd99f0768c2b5c31b341e8ecfbf59df11b2810a702136ec8c91ac44b5a7,f2555fd99f0768c2b5c31b341e8ecfbf59df11b2810a702136ec8c91ac44b5a7,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143.20260711_113235.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143.20260711_113235.xlsx,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143B.20260711_115303.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143B.20260711_115303.xlsx,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143C.20260711_121418.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143C.20260711_121418.xlsx,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_0143D.20260711_122823.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_0143D.20260711_122823.xlsx,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_CANDIDATE.CR_DB_0140.20260711_001621.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_CANDIDATE.CR_DB_0140.20260711_001621.xlsx,199d672041f0fdb49ce8409bb2a0bc85aedc0d65e73ad4f94c6b7d665827c87f,199d672041f0fdb49ce8409bb2a0bc85aedc0d65e73ad4f94c6b7d665827c87f,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_CANDIDATE.CR_DB_0141.20260711_003124.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_CANDIDATE.CR_DB_0141.20260711_003124.xlsx,8d43b3c42798d48c1428d627bec66a91d3857d25291991f388072d616396f19d,8d43b3c42798d48c1428d627bec66a91d3857d25291991f388072d616396f19d,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_CANDIDATE.CR_DB_0141.20260711_003203.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_CANDIDATE.CR_DB_0141.20260711_003203.xlsx,efc0ec9ee74d7ba8e962c5636141d1bff3087cbf8da058677e4fdff69c8a78f0,efc0ec9ee74d7ba8e962c5636141d1bff3087cbf8da058677e4fdff69c8a78f0,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.CALC_CANDIDATE.CR_DB_0141.20260711_003235.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.CALC_CANDIDATE.CR_DB_0141.20260711_003235.xlsx,d5ca467dac126642fb31d18d4f5ec452d280a70466de870cebb0b5c81e008c72,d5ca467dac126642fb31d18d4f5ec452d280a70466de870cebb0b5c81e008c72,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.LINEAGE_FIX_0143.20260711_113208.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.LINEAGE_FIX_0143.20260711_113208.xlsx,f2555fd99f0768c2b5c31b341e8ecfbf59df11b2810a702136ec8c91ac44b5a7,f2555fd99f0768c2b5c31b341e8ecfbf59df11b2810a702136ec8c91ac44b5a7,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\current\R01_B.LINEAGE_FIX_0143.20260711_113235.xlsx,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\current\R01_B.LINEAGE_FIX_0143.20260711_113235.xlsx,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,0b1ea01693a91d022bceef0e57407bc6ed991761c53598b700c53559bf126d58,MOVED_TO_ARCHIVE,INTERMEDIATE_CURRENT_CANDIDATE,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\CR_DB_0126_PROPOSED_FCMC_PERIOD_UF_SCHEMA.20260710_141914.sql,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0126_PROPOSED_FCMC_PERIOD_UF_SCHEMA.20260710_141914.sql,d0c5f4639827e47fde733ac21c661943504f06e0fc6755f42fd034e83dcdaa66,d0c5f4639827e47fde733ac21c661943504f06e0fc6755f42fd034e83dcdaa66,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\CR_DB_0128_FCMC_PERIOD_UF_SEED_STRATEGY.20260710_150600.sql,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0128_FCMC_PERIOD_UF_SEED_STRATEGY.20260710_150600.sql,38c52b37760b4442502760c0a5249578878d54cdf524ee327b62dddabc8f72ce,38c52b37760b4442502760c0a5249578878d54cdf524ee327b62dddabc8f72ce,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\CR_DB_0129_ORIGINAL_BOOTSTRAP_APPROVED_FCMC_PERIOD_UF_SEED.20260710_154348.sql,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0129_ORIGINAL_BOOTSTRAP_APPROVED_FCMC_PERIOD_UF_SEED.20260710_154348.sql,5c45fa2bed9cd09d972d46daa751be07d1e15e7d215d14bf06b11409218361e0,5c45fa2bed9cd09d972d46daa751be07d1e15e7d215d14bf06b11409218361e0,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\CR_DB_0129G_SCHEMA_AWARE_PROMOTION.20260710_174458.sql,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\CR_DB_0129G_SCHEMA_AWARE_PROMOTION.20260710_174458.sql,96646e39950670b873f72b0cadb892ae44e88e7e3ea8614b82d457fe28d5ffbb,96646e39950670b873f72b0cadb892ae44e88e7e3ea8614b82d457fe28d5ffbb,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_100_PERCENT_DB_DATA_SOURCE_POLICY.CR_DB_0123.20260710_133023.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_100_PERCENT_DB_DATA_SOURCE_POLICY.CR_DB_0123.20260710_133023.csv,240f215e4c79e6de9c7b0aa3b4e776de8e77dae95cac018d549705a05d3d0c77,240f215e4c79e6de9c7b0aa3b4e776de8e77dae95cac018d549705a05d3d0c77,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.csv,a9ebb033e88aa71eb72b760041db2eb98a31625ece2e23c2f22ff4d9c30c4f30,a9ebb033e88aa71eb72b760041db2eb98a31625ece2e23c2f22ff4d9c30c4f30,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.json,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_ACCEPTANCE_REGISTER.CR_DB_0116.20260709_172138.json,bc8e8f0d43030a938ddcaa68169c1a67a5f3ae73dfad1c0754b0cc410b2849ad,bc8e8f0d43030a938ddcaa68169c1a67a5f3ae73dfad1c0754b0cc410b2849ad,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_ACTIVE_FORMAT_PROFILE_REGISTER.CR_DB_0122.20260710_105834.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_ACTIVE_FORMAT_PROFILE_REGISTER.CR_DB_0122.20260710_105834.csv,8cf27533081f2a641748d634fa487efcf98b891887c936e3fd3b6a6093bc1de2,8cf27533081f2a641748d634fa487efcf98b891887c936e3fd3b6a6093bc1de2,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_ACCEPTANCE_GATE_DEPENDENCIES.CR_DB_0121.20260710_104951.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_ACCEPTANCE_GATE_DEPENDENCIES.CR_DB_0121.20260710_104951.csv,4646c8c9d75330ff1737b51d95bdb7868bba8c078f4fd005cfdfd92f49853b53,4646c8c9d75330ff1737b51d95bdb7868bba8c078f4fd005cfdfd92f49853b53,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_BROKEN_LEGACY_REFS_LOCK_PREFLIGHT.CR_DB_0120B.20260709_195806.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_BROKEN_LEGACY_REFS_LOCK_PREFLIGHT.CR_DB_0120B.20260709_195806.csv,5f2a38146bf7e6f8f5190183fcf43875e2345b81178c48b90a54b9c183a36756,5f2a38146bf7e6f8f5190183fcf43875e2345b81178c48b90a54b9c183a36756,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_BROKEN_LEGACY_REFS_LOCK_PREFLIGHT.CR_DB_0120B.20260709_195907.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_BROKEN_LEGACY_REFS_LOCK_PREFLIGHT.CR_DB_0120B.20260709_195907.csv,5f2a38146bf7e6f8f5190183fcf43875e2345b81178c48b90a54b9c183a36756,5f2a38146bf7e6f8f5190183fcf43875e2345b81178c48b90a54b9c183a36756,MOVED_TO_ARCHIVE,LONG_NAME,OK
C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\control\PKO_R01_B_CALC_CANDIDATE_MANIFEST.CR_DB_0140.20260711_001621.csv,C:\01. GitHub\CloseReport\04.PERIODS\2026-05_LOCKED.V1\PKO\R01\archive\CR_DB_0146\control\PKO_R01_B_CALC_CANDIDATE_MANIFEST.CR_DB_0140.20260711_001621.csv,c1f6eeec9d75bb10d2c90af4bea57d56783f91c1de67a3b511c758ab61b96c8a,c1f6eeec9d75bb10d2c90af4bea57d56783f91c1de67a3b511c758ab61b96c8a,MOVED_TO_ARCHIVE,ARCHIVED_BY_POLICY,OK
